Game,Score,Epsilon,Reward,Loss,Q_value
0.0,0,1000.0,4.0,1.0,4.0
1.0,0,999.0,4.0,0.0,3.0
2.0,0,998.0,3.0,1.0,4.0
3.0,0,997.0,4.0,0.0,3.0
4.0,0,996.0,4.0,0.0,5.0
5.0,0,995.0,3.0,0.0,3.0
6.0,1,994.0,3.0,1.0,1.0
7.0,0,993.0,4.0,1.0,1.0
8.0,1,992.0,3.0,0.0,3.0
9.0,1,991.0,3.0,0.0,1.0
10.0,0,990.0,3.0,1.0,3.0
11.0,0,989.0,4.0,0.0,4.0
12.0,1,988.0,4.0,0.0,1.0
13.0,0,987.0,3.0,0.0,1.0
14.0,0,986.0,4.0,1.0,6.0
15.0,0,985.0,3.0,0.0,3.0
16.0,1,984.0,3.0,1.0,8.0
17.0,1,983.0,4.0,0.0,2.0
18.0,0,982.0,3.0,0.0,5.0
19.0,1,981.0,3.0,1.0,2.0
20.0,0,980.0,4.0,1.0,2.0
21.0,0,979.0,4.0,0.0,4.0
22.0,0,978.0,4.0,1.0,0.0
23.0,1,977.0,4.0,0.0,2.0
24.0,1,976.0,3.0,1.0,5.0
25.0,0,975.0,3.0,0.0,2.0
26.0,0,974.0,3.0,1.0,5.0
27.0,0,973.0,4.0,0.0,1.0
28.0,0,972.0,3.0,1.0,1.0
29.0,0,971.0,4.0,0.0,2.0
30.0,0,970.0,3.0,0.0,5.0
31.0,1,969.0,4.0,0.0,4.0
32.0,0,968.0,3.0,0.0,3.0
33.0,0,967.0,3.0,0.0,3.0
34.0,0,966.0,4.0,0.0,4.0
35.0,1,965.0,4.0,1.0,4.0
36.0,0,964.0,3.0,1.0,4.0
37.0,1,963.0,3.0,1.0,-2.0
38.0,0,962.0,4.0,1.0,8.0
39.0,0,961.0,3.0,0.0,2.0
40.0,0,960.0,4.0,0.0,4.0
41.0,0,959.0,3.0,0.0,4.0
42.0,0,958.0,4.0,1.0,-1.0
43.0,1,957.0,3.0,0.0,2.0
44.0,0,956.0,4.0,1.0,5.0
45.0,0,955.0,3.0,1.0,6.0
46.0,1,954.0,4.0,0.0,5.0
47.0,0,953.0,3.0,0.0,4.0
48.0,1,952.0,3.0,0.0,3.0
49.0,0,951.0,3.0,0.0,4.0
50.0,0,950.0,3.0,0.0,3.0
51.0,0,949.0,3.0,0.0,2.0
52.0,1,948.0,3.0,1.0,6.0
53.0,0,947.0,4.0,0.0,7.0
54.0,0,946.0,4.0,0.0,2.0
55.0,1,945.0,4.0,1.0,4.0
56.0,0,944.0,4.0,1.0,1.0
57.0,0,943.0,3.0,0.0,4.0
58.0,0,942.0,4.0,1.0,3.0
59.0,1,941.0,4.0,0.0,4.0
60.0,0,940.0,3.0,0.0,3.0
61.0,0,939.0,4.0,1.0,2.0
62.0,1,938.0,4.0,0.0,2.0
63.0,0,937.0,4.0,0.0,4.0
64.0,0,936.0,4.0,1.0,1.0
65.0,0,935.0,3.0,1.0,5.0
66.0,0,934.0,3.0,0.0,3.0
67.0,0,933.0,3.0,0.0,4.0
68.0,1,932.0,4.0,0.0,3.0
69.0,0,931.0,3.0,1.0,7.0
70.0,1,930.0,3.0,1.0,1.0
71.0,0,929.0,4.0,0.0,4.0
72.0,0,928.0,4.0,1.0,2.0
73.0,0,927.0,4.0,1.0,3.0
74.0,0,926.0,4.0,0.0,2.0
75.0,0,925.0,3.0,1.0,5.0
76.0,0,924.0,3.0,0.0,3.0
77.0,1,923.0,3.0,1.0,-2.0
78.0,0,922.0,4.0,0.0,1.0
79.0,0,921.0,4.0,1.0,5.0
80.0,0,920.0,3.0,0.0,4.0
81.0,0,919.0,3.0,1.0,6.0
82.0,1,918.0,4.0,0.0,5.0
83.0,0,917.0,3.0,0.0,4.0
84.0,0,916.0,3.0,1.0,6.0
85.0,1,915.0,4.0,1.0,6.0
86.0,0,914.0,4.0,0.0,4.0
87.0,0,913.0,3.0,0.0,4.0
88.0,2,912.0,3.0,1.0,3.0
89.0,0,911.0,3.0,0.0,5.0
90.0,0,910.0,4.0,0.0,5.0
91.0,1,909.0,3.0,0.0,4.0
92.0,0,908.0,3.0,0.0,1.0
93.0,0,907.0,3.0,1.0,3.0
94.0,0,906.0,3.0,0.0,6.0
95.0,1,905.0,3.0,1.0,-3.0
96.0,0,904.0,3.0,1.0,2.0
97.0,0,903.0,4.0,1.0,2.0
98.0,0,902.0,3.0,0.0,0.0
99.0,0,901.0,3.0,0.0,2.0
100.0,1,900.0,3.0,0.0,6.0
101.0,0,899.0,4.0,0.0,5.0
102.0,1,898.0,4.0,0.0,5.0
102.0,1,898.0,3.0,1.0,3.0
103.0,0,897.0,3.0,0.0,4.0
104.0,0,896.0,4.0,1.0,1.0
105.0,0,895.0,3.0,0.0,4.0
106.0,0,894.0,4.0,0.0,1.0
107.0,0,893.0,3.0,0.0,6.0
108.0,0,892.0,3.0,1.0,3.0
109.0,0,891.0,3.0,1.0,5.0
110.0,1,890.0,4.0,0.0,3.0
111.0,0,889.0,4.0,0.0,4.0
112.0,0,888.0,3.0,1.0,5.0
113.0,0,887.0,4.0,1.0,3.0
114.0,0,886.0,3.0,0.0,2.0
115.0,0,885.0,4.0,0.0,4.0
116.0,0,884.0,3.0,0.0,4.0
117.0,0,883.0,3.0,0.0,1.0
118.0,0,882.0,3.0,1.0,4.0
119.0,0,881.0,3.0,1.0,3.0
120.0,0,880.0,3.0,1.0,0.0
121.0,1,879.0,4.0,0.0,5.0
122.0,0,878.0,3.0,0.0,5.0
123.0,1,877.0,4.0,1.0,-1.0
124.0,0,876.0,3.0,0.0,4.0
125.0,0,875.0,4.0,2.0,13.0
126.0,0,874.0,3.0,0.0,4.0
127.0,0,873.0,4.0,1.0,5.0
128.0,0,872.0,4.0,1.0,8.0
129.0,0,871.0,3.0,0.0,4.0
130.0,0,870.0,4.0,0.0,3.0
131.0,0,869.0,3.0,0.0,4.0
132.0,0,868.0,4.0,0.0,5.0
133.0,0,867.0,3.0,0.0,3.0
134.0,0,866.0,3.0,1.0,3.0
135.0,1,865.0,3.0,1.0,2.0
136.0,1,864.0,4.0,0.0,3.0
137.0,0,863.0,3.0,0.0,6.0
138.0,0,862.0,4.0,0.0,4.0
139.0,0,861.0,4.0,0.0,4.0
140.0,1,860.0,4.0,0.0,5.0
141.0,1,859.0,3.0,0.0,4.0
142.0,0,858.0,3.0,0.0,4.0
143.0,0,857.0,4.0,1.0,5.0
144.0,0,856.0,3.0,1.0,3.0
145.0,0,855.0,3.0,0.0,7.0
146.0,2,854.0,4.0,0.0,4.0
147.0,1,853.0,3.0,1.0,6.0
148.0,0,852.0,3.0,0.0,5.0
149.0,1,851.0,3.0,0.0,4.0
150.0,0,850.0,3.0,0.0,3.0
151.0,1,849.0,3.0,0.0,8.0
152.0,1,848.0,3.0,0.0,2.0
153.0,0,847.0,4.0,1.0,4.0
154.0,0,846.0,3.0,0.0,7.0
155.0,1,845.0,3.0,0.0,4.0
156.0,0,844.0,3.0,0.0,2.0
157.0,0,843.0,3.0,0.0,2.0
158.0,0,842.0,4.0,0.0,2.0
159.0,0,841.0,3.0,0.0,2.0
160.0,0,840.0,4.0,0.0,6.0
161.0,0,839.0,3.0,1.0,4.0
162.0,0,838.0,3.0,0.0,3.0
163.0,1,837.0,4.0,0.0,1.0
